# Pairs with a finite counterexample (per ETP's finite implication graph,
# teorth.github.io/equational_theories/implications/finite_graph.json, fetched
# 2026-08-28) that no construction in this corpus reaches. These are the
# remaining finitely-refutable targets: 39 in the 1062, 225 in the 814.
# set	from	to
saturation_refuted	168	3462
saturation_refuted	168	3463
saturation_refuted	168	3521
saturation_refuted	168	3522
saturation_refuted	168	3523
saturation_refuted	168	3532
saturation_refuted	168	3533
saturation_refuted	168	3534
saturation_refuted	168	3535
saturation_refuted	168	3864
saturation_refuted	168	3883
saturation_refuted	168	3915
saturation_refuted	168	3921
saturation_refuted	168	3958
saturation_refuted	168	3989
saturation_refuted	168	3997
saturation_refuted	168	4001
saturation_refuted	168	4282
saturation_refuted	168	4314
saturation_refuted	168	4315
saturation_refuted	168	4339
saturation_refuted	168	4357
saturation_refuted	168	4615
saturation_refuted	168	4645
saturation_refuted	168	4666
saturation_refuted	168	4689
saturation_refuted	873	880
saturation_refuted	873	4588
saturation_refuted	873	4647
saturation_refuted	1110	1629
saturation_refuted	1486	151
saturation_refuted	1486	152
saturation_refuted	1486	166
saturation_refuted	1486	167
saturation_refuted	1486	168
saturation_refuted	1486	1427
saturation_refuted	1486	1428
saturation_refuted	1486	1430
saturation_refuted	1486	1479
saturation_refuted	1486	1480
saturation_refuted	1486	1481
saturation_refuted	1486	1483
saturation_refuted	1486	1484
saturation_refuted	1486	1485
saturation_refuted	1486	1487
saturation_refuted	1486	2035
saturation_refuted	1486	2036
saturation_refuted	1486	2050
saturation_refuted	1486	2051
saturation_refuted	1486	2052
saturation_refuted	1486	2087
saturation_refuted	1486	2088
saturation_refuted	1486	2089
saturation_refuted	1486	2124
saturation_refuted	1486	2125
saturation_refuted	1486	2126
saturation_refuted	1486	2161
saturation_refuted	1486	2162
saturation_refuted	1486	2163
saturation_refuted	1486	2164
saturation_refuted	1486	3456
saturation_refuted	1486	3457
saturation_refuted	1486	3461
saturation_refuted	1486	3462
saturation_refuted	1486	3463
saturation_refuted	1486	3511
saturation_refuted	1486	3512
saturation_refuted	1486	3513
saturation_refuted	1486	3521
saturation_refuted	1486	3522
saturation_refuted	1486	3523
saturation_refuted	1486	3532
saturation_refuted	1486	3533
saturation_refuted	1486	3534
saturation_refuted	1486	3535
saturation_refuted	1486	3862
saturation_refuted	1486	3864
saturation_refuted	1486	3877
saturation_refuted	1486	3880
saturation_refuted	1486	3883
saturation_refuted	1486	3915
saturation_refuted	1486	3918
saturation_refuted	1486	3921
saturation_refuted	1486	3952
saturation_refuted	1486	3955
saturation_refuted	1486	3958
saturation_refuted	1486	3989
saturation_refuted	1486	3993
saturation_refuted	1486	3997
saturation_refuted	1486	4001
saturation_refuted	1486	4268
saturation_refuted	1486	4282
saturation_refuted	1486	4314
saturation_refuted	1486	4315
saturation_refuted	1486	4339
saturation_refuted	1486	4357
saturation_refuted	1486	4587
saturation_refuted	1486	4606
saturation_refuted	1486	4615
saturation_refuted	1486	4645
saturation_refuted	1486	4666
saturation_refuted	1486	4689
saturation_refuted	1487	3463
saturation_refuted	1487	3521
saturation_refuted	1487	3522
saturation_refuted	1487	3523
saturation_refuted	1487	3532
saturation_refuted	1487	3533
saturation_refuted	1487	3534
saturation_refuted	1487	3535
saturation_refuted	1487	3883
saturation_refuted	1487	3915
saturation_refuted	1487	3921
saturation_refuted	1487	3958
saturation_refuted	1487	3989
saturation_refuted	1487	3997
saturation_refuted	1487	4001
saturation_refuted	1487	4282
saturation_refuted	1487	4314
saturation_refuted	1487	4315
saturation_refuted	1487	4339
saturation_refuted	1487	4357
saturation_refuted	1487	4615
saturation_refuted	1487	4645
saturation_refuted	1487	4666
saturation_refuted	1487	4689
saturation_refuted	2126	151
saturation_refuted	2126	152
saturation_refuted	2126	166
saturation_refuted	2126	167
saturation_refuted	2126	168
saturation_refuted	2126	1426
saturation_refuted	2126	1427
saturation_refuted	2126	1428
saturation_refuted	2126	1429
saturation_refuted	2126	1430
saturation_refuted	2126	1478
saturation_refuted	2126	1479
saturation_refuted	2126	1480
saturation_refuted	2126	1481
saturation_refuted	2126	1482
saturation_refuted	2126	1483
saturation_refuted	2126	1484
saturation_refuted	2126	1485
saturation_refuted	2126	1486
saturation_refuted	2126	1487
saturation_refuted	2126	2050
saturation_refuted	2126	2051
saturation_refuted	2126	2052
saturation_refuted	2126	2087
saturation_refuted	2126	2088
saturation_refuted	2126	2089
saturation_refuted	2126	2161
saturation_refuted	2126	2162
saturation_refuted	2126	2163
saturation_refuted	2126	2164
saturation_refuted	2126	3456
saturation_refuted	2126	3457
saturation_refuted	2126	3461
saturation_refuted	2126	3462
saturation_refuted	2126	3463
saturation_refuted	2126	3511
saturation_refuted	2126	3512
saturation_refuted	2126	3513
saturation_refuted	2126	3521
saturation_refuted	2126	3522
saturation_refuted	2126	3523
saturation_refuted	2126	3532
saturation_refuted	2126	3533
saturation_refuted	2126	3534
saturation_refuted	2126	3535
saturation_refuted	2126	3862
saturation_refuted	2126	3864
saturation_refuted	2126	3877
saturation_refuted	2126	3880
saturation_refuted	2126	3883
saturation_refuted	2126	3915
saturation_refuted	2126	3918
saturation_refuted	2126	3921
saturation_refuted	2126	3952
saturation_refuted	2126	3955
saturation_refuted	2126	3958
saturation_refuted	2126	3989
saturation_refuted	2126	3993
saturation_refuted	2126	3997
saturation_refuted	2126	4001
saturation_refuted	2126	4268
saturation_refuted	2126	4282
saturation_refuted	2126	4314
saturation_refuted	2126	4315
saturation_refuted	2126	4339
saturation_refuted	2126	4357
saturation_refuted	2126	4587
saturation_refuted	2126	4606
saturation_refuted	2126	4615
saturation_refuted	2126	4645
saturation_refuted	2126	4666
saturation_refuted	2126	4689
saturation_refuted	2164	3463
saturation_refuted	2164	3521
saturation_refuted	2164	3522
saturation_refuted	2164	3523
saturation_refuted	2164	3532
saturation_refuted	2164	3533
saturation_refuted	2164	3534
saturation_refuted	2164	3535
saturation_refuted	2164	3883
saturation_refuted	2164	3921
saturation_refuted	2164	3958
saturation_refuted	2164	3989
saturation_refuted	2164	3997
saturation_refuted	2164	4001
saturation_refuted	2164	4282
saturation_refuted	2164	4314
saturation_refuted	2164	4315
saturation_refuted	2164	4339
saturation_refuted	2164	4357
saturation_refuted	2164	4615
saturation_refuted	2164	4645
saturation_refuted	2164	4666
saturation_refuted	2164	4689
saturation_refuted	2497	1832
saturation_refuted	2734	4273
saturation_refuted	2734	4332
saturation_refuted	3558	4065
unresolved	476	359
unresolved	476	4065
unresolved	503	359
unresolved	503	3862
unresolved	503	4065
unresolved	854	413
unresolved	854	1045
unresolved	854	1055
unresolved	854	1067
unresolved	854	3316
unresolved	854	3925
unresolved	879	4065
unresolved	1076	2294
unresolved	1076	4435
unresolved	1516	1489
unresolved	1518	47
unresolved	1518	614
unresolved	1518	817
unresolved	1518	3862
unresolved	2054	255
unresolved	2054	2644
unresolved	2054	2847
unresolved	2054	3456
unresolved	2091	2098
unresolved	2531	1313
unresolved	2531	4435
unresolved	2650	3253
unresolved	2712	2285
unresolved	2712	2449
unresolved	2712	2452
unresolved	2712	2488
unresolved	2712	3065
unresolved	2712	3519
unresolved	2712	4128
unresolved	3069	307
unresolved	3069	3253
unresolved	3069	3456
unresolved	3076	307
unresolved	3076	3253
