set	from	to	smallest_witness
unresolved	63	1692	none
unresolved	65	359	none
unresolved	65	614	none
unresolved	65	817	none
unresolved	65	1426	none
unresolved	65	1491	none
unresolved	65	3862	none
unresolved	65	4065	none
unresolved	73	99	none
unresolved	73	125	none
unresolved	73	203	none
unresolved	73	229	none
unresolved	73	255	none
unresolved	73	4380	none
unresolved	73	4435	none
unresolved	118	222	none
unresolved	206	1648	none
unresolved	229	73	none
unresolved	229	4435	none
unresolved	261	307	none
unresolved	261	2035	none
unresolved	261	2061	none
unresolved	261	2644	none
unresolved	261	2847	none
unresolved	261	3253	none
unresolved	261	3456	none
unresolved	271	1895	none
unresolved	274	47	none
unresolved	274	99	none
unresolved	274	118	none
unresolved	274	203	none
unresolved	274	222	none
unresolved	274	4380	none
unresolved	274	4435	none
unresolved	464	2457	11
unresolved	464	3066	11
unresolved	474	3278	11
unresolved	476	359	none
unresolved	476	3862	none
unresolved	476	4065	none
unresolved	503	359	none
unresolved	503	3862	none
unresolved	503	4065	none
unresolved	511	614	none
unresolved	511	714	none
unresolved	511	1020	none
unresolved	511	1120	none
unresolved	511	1223	none
unresolved	511	2238	none
unresolved	511	2338	none
unresolved	511	2441	none
unresolved	511	2847	none
unresolved	511	3050	none
unresolved	511	3079	11
unresolved	511	4380	none
unresolved	511	4435	none
unresolved	670	817	11
unresolved	677	255	none
unresolved	707	1223	none
unresolved	707	1316	none
unresolved	707	2238	none
unresolved	707	2331	none
unresolved	707	2847	none
unresolved	713	359	none
unresolved	713	817	none
unresolved	713	3862	none
unresolved	713	4065	none
unresolved	854	413	none
unresolved	854	1045	none
unresolved	854	1055	none
unresolved	854	1067	none
unresolved	854	3316	none
unresolved	854	3925	none
unresolved	879	4065	none
unresolved	883	2035	none
unresolved	883	2304	none
unresolved	907	255	11
unresolved	907	836	9
unresolved	907	843	9
unresolved	917	1629	none
unresolved	917	1729	none
unresolved	917	2441	none
unresolved	917	2541	none
unresolved	1076	3	none
unresolved	1076	8	none
unresolved	1076	23	none
unresolved	1076	26	13
unresolved	1076	47	none
unresolved	1076	65	13
unresolved	1076	73	13
unresolved	1076	99	none
unresolved	1076	102	13
unresolved	1076	117	13
unresolved	1076	125	13
unresolved	1076	151	none
unresolved	1076	160	13
unresolved	1076	167	13
unresolved	1076	203	none
unresolved	1076	212	13
unresolved	1076	229	13
unresolved	1076	255	none
unresolved	1076	258	13
unresolved	1076	263	13
unresolved	1076	307	none
unresolved	1076	326	none
unresolved	1076	335	13
unresolved	1076	359	none
unresolved	1076	362	13
unresolved	1076	375	none
unresolved	1076	411	none
unresolved	1076	429	13
unresolved	1076	437	13
unresolved	1076	464	13
unresolved	1076	473	13
unresolved	1076	504	13
unresolved	1076	513	13
unresolved	1076	546	13
unresolved	1076	562	13
unresolved	1076	614	none
unresolved	1076	617	13
unresolved	1076	632	13
unresolved	1076	640	13
unresolved	1076	679	13
unresolved	1076	704	13
unresolved	1076	817	none
unresolved	1076	826	13
unresolved	1076	833	13
unresolved	1076	872	13
unresolved	1076	879	13
unresolved	1076	910	13
unresolved	1076	917	13
unresolved	1076	949	13
unresolved	1076	962	13
unresolved	1076	1029	13
unresolved	1076	1046	13
unresolved	1076	1085	13
unresolved	1076	1110	13
unresolved	1076	1119	13
unresolved	1076	1223	none
unresolved	1076	1226	13
unresolved	1076	1231	13
unresolved	1076	1278	13
unresolved	1076	1323	13
unresolved	1076	1426	none
unresolved	1076	1455	13
unresolved	1076	1482	13
unresolved	1076	1491	13
unresolved	1076	1518	13
unresolved	1076	1526	13
unresolved	1076	1629	none
unresolved	1076	1632	13
unresolved	1076	1654	13
unresolved	1076	1658	13
unresolved	1076	1662	13
unresolved	1076	1682	13
unresolved	1076	1721	13
unresolved	1076	1729	13
unresolved	1076	1790	13
unresolved	1076	1832	none
unresolved	1076	1838	13
unresolved	1076	1850	13
unresolved	1076	1861	13
unresolved	1076	1873	13
unresolved	1076	1885	13
unresolved	1076	1897	13
unresolved	1076	1925	13
unresolved	1076	1967	13
unresolved	1076	2035	none
unresolved	1076	2044	13
unresolved	1076	2053	13
unresolved	1076	2060	13
unresolved	1076	2100	13
unresolved	1076	2125	13
unresolved	1076	2238	none
unresolved	1076	2267	13
unresolved	1076	2294	none
unresolved	1076	2300	13
unresolved	1076	2328	13
unresolved	1076	2330	13
unresolved	1076	2441	none
unresolved	1076	2449	13
unresolved	1076	2457	13
unresolved	1076	2470	13
unresolved	1076	2485	13
unresolved	1076	2503	13
unresolved	1076	2533	13
unresolved	1076	2541	13
unresolved	1076	2586	13
unresolved	1076	2644	none
unresolved	1076	2653	13
unresolved	1076	2663	13
unresolved	1076	2672	13
unresolved	1076	2699	13
unresolved	1076	2744	13
unresolved	1076	2847	none
unresolved	1076	2850	13
unresolved	1076	2863	13
unresolved	1076	2875	13
unresolved	1076	2910	13
unresolved	1076	2939	13
unresolved	1076	3050	none
unresolved	1076	3053	13
unresolved	1076	3058	13
unresolved	1076	3066	13
unresolved	1076	3075	13
unresolved	1076	3079	13
unresolved	1076	3083	13
unresolved	1076	3094	13
unresolved	1076	3113	13
unresolved	1076	3253	none
unresolved	1076	3271	13
unresolved	1076	3279	13
unresolved	1076	3319	none
unresolved	1076	3343	13
unresolved	1076	3352	13
unresolved	1076	3456	none
unresolved	1076	3459	13
unresolved	1076	3474	13
unresolved	1076	3482	13
unresolved	1076	3518	13
unresolved	1076	3522	none
unresolved	1076	3526	13
unresolved	1076	3558	13
unresolved	1076	3607	13
unresolved	1076	3659	none
unresolved	1076	3668	13
unresolved	1076	3675	13
unresolved	1076	3715	none
unresolved	1076	3722	none
unresolved	1076	3761	13
unresolved	1076	3862	none
unresolved	1076	3871	13
unresolved	1076	3888	13
unresolved	1076	3915	none
unresolved	1076	3924	13
unresolved	1076	3954	13
unresolved	1076	4065	none
unresolved	1076	4068	13
unresolved	1076	4073	13
unresolved	1076	4118	none
unresolved	1076	4127	13
unresolved	1076	4131	13
unresolved	1076	4135	13
unresolved	1076	4146	13
unresolved	1076	4157	13
unresolved	1076	4290	13
unresolved	1076	4321	13
unresolved	1076	4369	13
unresolved	1076	4380	none
unresolved	1076	4383	13
unresolved	1076	4408	13
unresolved	1076	4435	none
unresolved	1076	4443	13
unresolved	1076	4470	none
unresolved	1076	4585	13
unresolved	1076	4636	13
unresolved	1076	4656	13
unresolved	1112	8	none
unresolved	1112	411	none
unresolved	1112	1832	none
unresolved	1112	3253	none
unresolved	1112	3319	none
unresolved	1112	3862	none
unresolved	1112	3915	none
unresolved	1117	2441	infinite
unresolved	1117	2444	infinite
unresolved	1117	2530	infinite
unresolved	1117	2534	infinite
unresolved	1117	2538	infinite
unresolved	1133	1035	none
unresolved	1133	1055	none
unresolved	1133	1085	none
unresolved	1133	1096	none
unresolved	1133	1150	none
unresolved	1133	1167	none
unresolved	1133	1202	none
unresolved	1133	1634	none
unresolved	1133	1657	none
unresolved	1133	1668	none
unresolved	1133	1681	none
unresolved	1133	1701	none
unresolved	1133	1721	none
unresolved	1133	1742	none
unresolved	1133	1763	none
unresolved	1133	1797	none
unresolved	1133	1816	none
unresolved	1133	1860	none
unresolved	1133	1875	none
unresolved	1133	1884	none
unresolved	1133	1912	none
unresolved	1133	1958	none
unresolved	1133	2000	none
unresolved	1133	2024	none
unresolved	1133	3877	none
unresolved	1133	3897	none
unresolved	1133	3952	none
unresolved	1133	3972	none
unresolved	1133	3989	none
unresolved	1133	4006	none
unresolved	1133	4040	none
unresolved	1133	4587	none
unresolved	1133	4606	none
unresolved	1133	4615	none
unresolved	1133	4645	none
unresolved	1133	4666	none
unresolved	1133	4689	none
unresolved	1167	1025	none
unresolved	1167	1055	none
unresolved	1167	1096	none
unresolved	1167	1112	none
unresolved	1167	1133	none
unresolved	1167	1150	none
unresolved	1167	1202	none
unresolved	1167	1634	none
unresolved	1167	1657	none
unresolved	1167	1668	none
unresolved	1167	1681	none
unresolved	1167	1701	none
unresolved	1167	1721	none
unresolved	1167	1742	none
unresolved	1167	1763	none
unresolved	1167	1797	none
unresolved	1167	1816	none
unresolved	1167	1847	none
unresolved	1167	1875	none
unresolved	1167	1897	none
unresolved	1167	1912	none
unresolved	1167	1958	none
unresolved	1167	1979	none
unresolved	1167	2024	none
unresolved	1167	3867	none
unresolved	1167	3897	none
unresolved	1167	3925	none
unresolved	1167	3935	none
unresolved	1167	3972	none
unresolved	1167	4006	none
unresolved	1167	4040	none
unresolved	1167	4587	none
unresolved	1167	4606	none
unresolved	1167	4615	none
unresolved	1167	4645	none
unresolved	1167	4666	none
unresolved	1167	4689	none
unresolved	1286	3	11
