family	params	carrier	laws_satisfied	pairs_covered	pairs
linear/Z_m	m=9 a=2 b=8	finite:9	109	2	2700!=2709,2700!=2736
linear/Z_m	m=9 a=8 b=2	finite:9	109	2	907!=836,907!=843
linear/Z_m	m=11 a=1 b=3	finite:11	7	1	670!=817
linear/Z_m	m=11 a=1 b=7	finite:11	9	42	1286!=3,1286!=8,1286!=23,1286!=47,1286!=99,1286!=151,1286!=203,1286!=255,1286!=307,1286!=326,1286!=359,1286!=375,1286!=411,1286!=614,1286!=817,1286!=1020,1286!=1083,1286!=1426,1286!=1629,1286!=1832,1286!=2035,1286!=2238,1286!=2301,1286!=2441,1286!=2504,1286!=2644,1286!=2847,1286!=3050,1286!=3253,1286!=3319,1286!=3456,1286!=3522,1286!=3659,1286!=3715,1286!=3722,1286!=3862,1286!=3915,1286!=4065,1286!=4118,1286!=4380,1286!=4435,1286!=4470
linear/Z_m	m=11 a=2 b=6	finite:11	5	3	907!=255,907!=836,907!=843
linear/Z_m	m=11 a=2 b=9	finite:11	17	1	670!=817
linear/Z_m	m=11 a=2 b=10	finite:11	102	2	3113!=3058,3113!=4068
linear/Z_m	m=11 a=3 b=1	finite:11	7	1	2937!=2644
linear/Z_m	m=11 a=3 b=5	finite:11	8	42	1286!=3,1286!=8,1286!=23,1286!=47,1286!=99,1286!=151,1286!=203,1286!=255,1286!=307,1286!=326,1286!=359,1286!=375,1286!=411,1286!=614,1286!=817,1286!=1020,1286!=1083,1286!=1426,1286!=1629,1286!=1832,1286!=2035,1286!=2238,1286!=2301,1286!=2441,1286!=2504,1286!=2644,1286!=2847,1286!=3050,1286!=3253,1286!=3319,1286!=3456,1286!=3522,1286!=3659,1286!=3715,1286!=3722,1286!=3862,1286!=3915,1286!=4065,1286!=4118,1286!=4380,1286!=4435,1286!=4470
linear/Z_m	m=11 a=3 b=9	finite:11	82	4	1289!=513,2507!=513,2913!=513,3116!=513
linear/Z_m	m=11 a=4 b=8	finite:11	74	3	474!=3278,3103!=466,3103!=1075
linear/Z_m	m=11 a=4 b=9	finite:11	9	1	2937!=2644
linear/Z_m	m=11 a=5 b=3	finite:11	8	42	2301!=3,2301!=8,2301!=23,2301!=47,2301!=99,2301!=151,2301!=203,2301!=255,2301!=307,2301!=326,2301!=359,2301!=375,2301!=411,2301!=614,2301!=817,2301!=1020,2301!=1083,2301!=1223,2301!=1286,2301!=1426,2301!=1629,2301!=1832,2301!=2035,2301!=2441,2301!=2504,2301!=2644,2301!=2847,2301!=3050,2301!=3253,2301!=3319,2301!=3456,2301!=3522,2301!=3659,2301!=3715,2301!=3722,2301!=3862,2301!=3915,2301!=4065,2301!=4118,2301!=4380,2301!=4435,2301!=4470
linear/Z_m	m=11 a=5 b=7	finite:11	68	1	474!=3278
linear/Z_m	m=11 a=5 b=8	finite:11	8	1	2937!=2644
linear/Z_m	m=11 a=6 b=2	finite:11	5	4	2700!=47,2700!=2709,2700!=2736,2700!=2847
linear/Z_m	m=11 a=6 b=6	finite:11	80	3	474!=3278,3113!=3058,3113!=4068
linear/Z_m	m=11 a=7 b=1	finite:11	9	42	2301!=3,2301!=8,2301!=23,2301!=47,2301!=99,2301!=151,2301!=203,2301!=255,2301!=307,2301!=326,2301!=359,2301!=375,2301!=411,2301!=614,2301!=817,2301!=1020,2301!=1083,2301!=1223,2301!=1286,2301!=1426,2301!=1629,2301!=1832,2301!=2035,2301!=2441,2301!=2504,2301!=2644,2301!=2847,2301!=3050,2301!=3253,2301!=3319,2301!=3456,2301!=3522,2301!=3659,2301!=3715,2301!=3722,2301!=3862,2301!=3915,2301!=4065,2301!=4118,2301!=4380,2301!=4435,2301!=4470
linear/Z_m	m=11 a=7 b=5	finite:11	68	2	3113!=3058,3113!=4068
linear/Z_m	m=11 a=7 b=9	finite:11	15	3	907!=255,907!=836,907!=843
linear/Z_m	m=11 a=8 b=4	finite:11	74	4	464!=2457,464!=3066,3113!=3058,3113!=4068
linear/Z_m	m=11 a=8 b=5	finite:11	8	1	670!=817
linear/Z_m	m=11 a=9 b=2	finite:11	17	1	2937!=2644
linear/Z_m	m=11 a=9 b=3	finite:11	82	1	511!=3079
linear/Z_m	m=11 a=9 b=4	finite:11	9	1	670!=817
linear/Z_m	m=11 a=9 b=7	finite:11	15	4	2700!=47,2700!=2709,2700!=2736,2700!=2847
linear/Z_m	m=11 a=10 b=2	finite:11	102	1	474!=3278
linear/Z_m	m=13 a=4 b=8	finite:13	11	40	1286!=3,1286!=8,1286!=23,1286!=47,1286!=99,1286!=203,1286!=255,1286!=307,1286!=326,1286!=359,1286!=375,1286!=614,1286!=817,1286!=1020,1286!=1083,1286!=1426,1286!=1629,1286!=1832,1286!=2035,1286!=2238,1286!=2301,1286!=2441,1286!=2504,1286!=2644,1286!=2847,1286!=3050,1286!=3253,1286!=3319,1286!=3456,1286!=3522,1286!=3659,1286!=3715,1286!=3722,1286!=3862,1286!=3915,1286!=4065,1286!=4118,1286!=4380,1286!=4435,1286!=4470
linear/Z_m	m=13 a=4 b=11	finite:13	11	45	2301!=3,2301!=8,2301!=23,2301!=47,2301!=99,2301!=151,2301!=203,2301!=255,2301!=307,2301!=326,2301!=359,2301!=375,2301!=411,2301!=614,2301!=817,2301!=1020,2301!=1083,2301!=1223,2301!=1286,2301!=1426,2301!=1629,2301!=1832,2301!=2035,2301!=2441,2301!=2504,2301!=2847,2301!=3050,2301!=3253,2301!=3319,2301!=3456,2301!=3522,2301!=3659,2301!=3715,2301!=3722,2301!=3862,2301!=3915,2301!=4065,2301!=4118,2301!=4380,2301!=4435,2301!=4470,2700!=47,2700!=2709,2700!=2736,2700!=2847
